City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
31,mejit,10.2753,170.8646,27.2,77,100,9.36,MH,1701651887
32,moratuwa,6.773,79.8816,25.48,91,100,3.48,LK,1701651890
33,utrik,11.2278,169.8474,27.32,74,100,8.85,MH,1701651891
34,lihue,21.9789,-159.3672,27.58,74,0,5.66,US,1701651893
35,margaret river,-33.95,115.0667,18.54,71,100,5.65,AU,1701651894
36,sidi ifni,29.3797,-10.173,15.86,69,8,0.44,MA,1701651895
37,aasiaat,68.7098,-52.8699,-11.06,83,100,1.69,GL,1701651897
38,sheregesh,52.9209,87.9869,-4.47,92,100,8.17,RU,1701651898
39,mount pearl,47.5166,-52.7813,0.64,77,100,4.12,CA,1701651900
40,lerwick,60.1545,-1.1494,4.0,69,31,2.97,GB,1701651902
41,kapuskasing,49.4169,-82.4331,-7.95,86,40,3.09,CA,1701651904
42,hithadhoo,-0.6,73.0833,27.74,77,100,3.6,MV,1701651907
43,st. john's,47.5649,-52.7093,1.1,77,100,4.12,CA,1701651786
44,petropavlovsk-kamchatsky,53.0452,158.6483,-7.53,76,0,3.58,RU,1701651705
45,santyoku,37.4406,129.1708,7.5,29,6,2.39,KR,1701651911
46,pangody,65.85,74.4859,-29.23,98,14,4.27,RU,1701651912
47,udachny,66.4167,112.4,-42.92,100,74,1.59,RU,1701651913
48,mareeba,-17.0,145.4333,34.13,49,93,2.25,AU,1701651915
49,tazovsky,67.4667,78.7,-29.51,92,25,4.57,RU,1701651916
50,ust-nera,64.5667,143.2,-39.06,98,100,1.9,RU,1701651917
51,yellowknife,62.456,-114.3525,-19.71,84,100,4.12,CA,1701651717
52,tual,-5.6667,132.75,28.15,77,36,3.03,ID,1701651919
53,hirado,33.3597,129.5531,13.55,55,7,2.52,JP,1701651921
54,illapel,-31.6308,-71.1653,18.16,55,0,1.2,CL,1701651372
55,afaahiti,-17.75,-149.2833,30.93,83,100,9.87,PF,1701651923
56,cheremukhovo,60.3484,59.9851,-19.63,99,100,0.94,RU,1701651925
57,badger,64.8,-147.5333,-20.36,70,20,0.0,US,1701651926
58,tinajo,29.0788,-13.7081,16.49,72,20,2.57,ES,1701651927
59,wynyard,-41.0,145.7167,17.21,71,100,4.24,AU,1701651929
60,isafjordur,66.0755,-23.124,0.58,89,100,3.93,IS,1701651930
